index,00:00:00:00:00:06,00:00:00:00:00:03,00:00:00:00:00:08,00:00:00:00:00:07,00:00:00:00:00:05,00:00:00:00:00:02,00:00:00:00:00:01,00:00:00:00:00:04
160,1375024.0,1370880.0,1999872.0,1814400.0,2318512.0,9184896.0,1370880.0,1157184.0
161,2177392.0,1596672.0,2334528.0,7326144.0,2705472.0,1564986.6666666667,1600816.0,1358896.0
162,2104928.0,1375024.0,2846592.0,6286000.0,2318400.0,947520.0,1366848.0,1157184.0
163,2108736.0,1366848.0,10233216.0,6281968.0,2322544.0,947520.0,1366960.0,1241968.0
164,2273440.0,1600816.0,11951184.0,6284906.666666667,2701552.0,1113056.0,1596784.0,2209536.0
165,1919344.0,1467648.0,10959200.0,395136.0,1766933.3333333333,1016064.0,1471680.0,2032352.0
166,1790432.0,1374912.0,9935653.333333334,524272.0,1576512.0,89509.33333333333,1375024.0,1903104.0
167,2092608.0,1596672.0,7427376.0,616896.0,1846656.0,112.0,1604736.0,2213680.0
168,1794352.0,1370992.0,2540272.0,528192.0,1584688.0,112.0,1366960.0,1899072.0
169,2084544.0,1596672.0,2955680.0,616896.0,1842624.0,112.0,1596896.0,2067808.0
170,1794352.0,1374912.0,2415626.6666666665,528192.0,1580656.0,0.0,1366848.0,2326464.0
171,1794352.0,1370880.0,2213680.0,524384.0,1580768.0,0.0,1375024.0,2427376.0
172,2092608.0,1600704.0,2584624.0,612864.0,1846656.0,0.0,1600816.0,2830688.0
173,1790208.0,1002874.6666666666,2217712.0,528192.0,1580544.0,0.0,1374912.0,2029733.3333333333
174,1798384.0,947744.0,2213680.0,532224.0,1584576.0,0.0,924853.3333333334,1289520.0
175,1488378.6666666667,1108800.0,2580480.0,613088.0,1846768.0,112.0,737968.0,1225952.0
176,1076656.0,523066.6666666667,2540272.0,540512.0,1612800.0,112.0,641200.0,1072512.0
177,1056608.0,846720.0,2633008.0,840293.3333333334,1576624.0,4032.0,641200.0,1052464.0
178,1229872.0,983920.0,2806730.6666666665,1600704.0,1842624.0,4032.0,737968.0,1229872.0
