port1,port2
0,2963520
0,3084480
441504,3090528
2056320,3090528
2062368,3090528
2056320,3084480
2062368,3090528
2056320,3090528
2068416,1867192
2056320,0
2056320,0
2056320,0
2062368,175392
2056320,846720
2062368,840672
2056320,3024000
2237760,3931200
2896992,3937248
2438552,3925152
846720,3931200
840672,3931200
1463616,3806480
3925152,840672
3925152,846720
3937248,840672
3925152,846720
3937248,840672
5352480,846720
5993568,840672
5987520,846720
5993568,840672
3307696,846720
4312224,846720
4959360,840672
4959360,846720
4959360,840672
4965408,840672
3528272,852768
2903040,840672
2896992,846720
2896992,840672
2915136,2951424
2896992,3931200
2903040,3931200
2896992,3931200
2909088,3919104
2903040,2861392
2896992,840672
2909088,840672
2896992,846720
2909088,840672
2903040,702776
1461976,6048
846720,0
840672,0
846720,0
840672,0
840672,0
846720,0
840672,0
846720,0
840672,0
846720,0
840672,0
840672,0
506392,6048
0,0
0,0
0,0
0,0
0,0
0,3060288
0,3090528
0,7166880
0,7209216
0,7197120
0,12283488
0,12331872
0,12380256
0,15355872
0,10777536
0,13323744
0,13408416
0,13366080
0,13366080
0,13390272
0,13372128
0,13390272
0,13366080
6048,12330752
0,10293096
6048,6162912
0,6181056
0,6168960
0,6181056
0,6168960
0,6181056
6048,3128544
0,3084480
0,3217536
0,2957472
0,3090528
0,3084480
0,3090528
0,3084480
6048,2065136
0,0
302400,0
955584,0
943488,0
949536,0
949536,0
949536,0
949536,0
949536,0
943488,0
949536,0
1639008,0
1796256,0
1790208,0
3465504,0
3852576,0
3852576,0
3846528,0
3852576,0
3852576,0
3846528,0
3846528,0
3858624,0
3846528,1663200
3853004,2056748
3846528,2062368
3846528,2056320
3858624,2062368
3846528,2056320
4536000,2056320
2994968,2352672
2642976,1337296
1723120,955584
1687392,949536
1687392,949536
1687392,943488
2443392,949536
2636928,949536
2636928,949536
2630880,949536
2630880,949536
2745792,985824
2528064,907200
2636928,949536
2636928,949536
2630880,949536
2630880,949536
2636928,949536
2636928,943488
2636928,949536
1954712,955584
1790208,949536
1790208,371216
1471952,6048
949536,0
949536,0
949536,0
949536,0
943488,0
949536,0
949536,0
949536,0
949536,0
949536,0
949536,0
949536,0
949536,0
943488,0
949536,0
949536,0
949536,0
949536,0
949536,0
949536,0
943488,0
949536,0
949536,0
949536,0
949536,0
949536,0
949536,0
943488,0
949536,0
949536,0
949536,0
949536,0
949536,0
985824,0
213408,6048
0,0
0,0
0,0
0,0
0,544320
0,3090528
0,5848416
0,7221312
0,9259488
0,10281600
0,12368160
0,13372128
0,14230944
0,18500832
0,11890368
0,11333952
0,11315808
0,11327904
0,11309760
0,11333952
0,11309760
0,11333952
0,11309760
0,11309760
0,11346048
6048,9406888
0,6181056
0,6168960
6048,5544296
6048,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
931392,0
1028160,0
1028160,0
1034208,0
1028160,0
1028160,0
1028160,0
2515968,0
6386688,0
5927040,0
6175008,0
6628608,0
7118496,0
7148736,0
7094304,0
7130592,0
7124544,0
7130592,0
5094704,6048
5068224,0
5580664,6048
3005856,0
3017952,0
3005856,1439424
3005856,3090528
3513888,3108672
4015872,3060288
4033456,3096576
4880736,3078432
5068224,4971456
5068224,3443600
5074272,2903040
5062176,2903040
5062176,2896992
5074272,2909088
5056128,2896992
5074272,2896992
5068224,1022800
5068224,840672
5068224,846720
5062176,840672
5074272,846720
5134752,852768
4995648,828576
5062176,846720
5062176,840672
4337624,852768
4112640,840672
4112640,840672
4118688,846720
4118688,840672
4124736,846720
2197152,846720
2056320,840672
2056320,846720
2062368,840672
2056320,846720
2062368,840672
2056320,846720
2062368,840672
2056320,840672
2062368,846720
2056320,840672
2056320,846720
2062368,840672
1552696,852768
1034208,840672
1028160,840672
1028160,846720
1028160,846720
1028160,840672
1025440,846720
0,846720
0,840672
0,846720
0,840672
0,846720
0,840672
6048,748312
0,0
0,0
0,0
0,0
0,2921184
0,4106592
0,4112640
0,6302016
0,9380448
0,10281600
0,13904352
0,17581536
0,13795488
0,13390272
0,13372128
0,13408416
0,13366080
0,13390272
0,13372128
0,13378176
6048,10416904
0,9253440
0,9271584
0,9271584
0,9253440
6048,9113216
0,6162912
0,6175008
0,6181056
0,6168960
0,6181056
0,6168960
6048,3960840
0,3084480
0,3090528
0,3084480
0,3090528
6048,2960240
0,0
0,78624
0,2056320
0,2056320
66528,3707424
2050272,5140800
2068416,5183136
2050272,6029856
2062368,8061984
2056320,8037792
2080512,8061984
2903040,8043840
2903040,8043840
2896992,8055936
2903040,8037792
2909088,5353688
2903040,4953312
2903040,4971456
2896992,4953312
2903040,5503680
2903040,5981472
2903040,5999616
2903040,5981472
2903040,5981472
2816728,6048000
846720,5838048
840672,3937248
852768,3863032
840672,1856736
840672,1880928
846720,1868832
840672,1874880
840672,1868832
876960,1947456
810432,1796256
846720,1874880
840672,1874880
840672,1868832
846720,1874880
840672,1868832
846720,1874880
846720,1142512
840672,1028160
846720,1028160
840672,1028160
846720,1034208
840672,1028160
846720,1028160
840672,1028160
846720,1034208
13304,1034208
0,1028160
0,1028160
0,1028160
0,1028160
0,1034208
0,1028160
0,1028160
0,1028160
0,1028160
0,1034208
0,1028160
0,1028160
0,1028160
0,1028160
0,1028160
0,1034208
0,1028160
0,1028160
0,1028160
0,1034208
6048,462976
0,0
0,0
0,0
4614624,0
6168960,0
6168960,0
11769408,0
13384224,0
13952736,0
15289344,0
11950848,0
11309760,0
11321856,0
11333952,0
11309760,0
11340000,0
11291616,0
11333952,0
11327904,0
6745248,6048
6181056,0
5109440,6048
3090528,0
3084480,0
3084480,0
3090528,0
3084480,0
3096576,0
3084480,0
3084480,0
3090528,0
3090528,0
3090528,0
492656,6048
0,0
0,2528064
0,3084480
0,3090528
0,3084480
0,3090528
0,3084480
0,3084480
0,3090528
0,3084480
647136,3096576
2056320,3084480
2056320,3090528
2062368,3084480
2056320,3090528
2062368,3090528
2056320,3084480
2062368,533952
1409872,6048
0,0
0,290304
0,949536
0,949536
0,949536
0,949536
0,949536
0,949536
0,949536
0,949536
0,1711584
0,1899072
0,1893024
0,1899072
0,1899072
0,1899072
0,1899072
0,3550176
0,3955392
0,3943296
0,3961440
0,3955392
0,3955392
0,3961440
0,4215456
0,4796064
0,4783968
0,4808160
0,4796064
0,4808160
0,4796064
6048,4689488
2443392,3852576
3084480,3840480
3090528,3852576
3090528,3852576
3084480,3852576
3090528,3846528
3084480,3852576
3090528,3846528
3090528,4445280
3084480,5908896
3090528,5908896
3090528,4224832
3223584,3321040
1522456,2884896
290304,3005856
1028160,3011904
1028160,3743712
1034208,3961440
1028160,3955392
1028160,3955392
1028160,3949344
1028160,3955392
1034208,3961440
1028160,3955392
1294272,3351800
1971648,1899072
1983744,1013344
1983744,949536
1977696,949536
1977696,949536
1682032,955584
3308256,949536
4034016,949536
4027968,943488
4040064,949536
4034016,949536
4040064,949536
4040064,867152
4046112,0
4027968,0
2696848,6048
949536,0
79312,6048
0,0
0,0
0,0
0,1905120
0,7330176
0,11981088
0,13577760
0,18537120
0,13831776
0,13372128
0,13390272
0,13372128
0,13390272
0,13390272
0,13366080
6048,13567392
0,8854272
0,9277632
0,9295776
0,9217152
0,9271584
0,9259488
0,9265536
0,9259488
6048,8535976
0,6181056
0,6162912
0,6181056
0,6168960
6048,4468872
0,3084480
6048,1865552
0,0
302400,0
846720,0
841080,408
846720,0
2600640,0
2896992,0
2909088,0
2896992,0
2909088,0
2896992,0
2903040,719712
2903040,2062368
2896992,2056320
2909088,2062368
2896992,2056320
2903040,2056320
4644864,2062368
4953312,2056320
4971456,2062368
4953312,2056320
3902168,2068416
3743712,2056320
3743712,2056320
3743712,2062368
6326208,1317904
6846336,0
5070512,6048
4783968,0
4971456,0
4560192,0
4783968,0
4765824,0
4783968,0
4765824,0
4929768,12096
1874880,0
1868832,0
1874880,0
1868832,0
1880928,0
1868832,0
1868832,0
1874880,0
2140992,0
2727648,0
2709504,0
2715552,0
2715552,0
2715552,0
2721600,0
2709504,0
2721600,0
2709504,0
2715552,0
2715552,0
2721600,0
2715552,0
2715552,0
2715552,0
2039384,6048
1874880,0
1868832,0
1874880,0
1868832,0
1868832,0
1880928,0
1868832,0
1874880,0
1868832,0
1874880,0
1874880,0
1874880,0
1868832,0
1868832,0
1874880,0
1953504,0
1796256,0
1729168,6048
1028160,0
1034208,0
1028160,0
1028160,0
140832,6048
0,0
0,0
0,1348704
0,4106592
0,4124736
0,8346240
0,12785472
0,16414272
0,13831776
0,13390272
0,13366080
0,13384224
0,13396320
0,13366080
0,13396320
0,13366080
0,13384224
0,13402368
6048,11971240
0,9253440
0,9253440
0,9271584
6048,8251200
0,6181056
0,6181056
0,6168960
