port1,port2,port3,port4,port5
4118688,0,2924512,0,0
4783968,0,0,0,0
4765824,0,0,0,0
4790016,0,0,0,0
4765824,0,0,0,0
4765824,0,0,0,0
4777920,0,0,0,0
7414848,0,0,0,0
7880544,0,0,0,280
6043160,0,0,0,6048
5806080,0,0,0,0
5800032,0,0,0,0
6519744,0,0,0,0
6640704,0,0,0,0
6937056,0,0,0,0
6356448,0,0,0,0
5025328,0,0,0,6048
3556224,0,0,0,0
3556224,0,0,0,0
3562272,0,0,0,0
3550176,0,0,0,0
3574368,0,0,0,0
2950864,0,6048,0,0
2721600,0,0,0,0
2709784,0,0,0,0
2721600,0,0,0,0
2715552,0,0,0,0
2709504,0,0,0,0
2715552,0,0,0,0
2715552,0,0,0,0
2715552,0,0,0,0
1914496,0,0,0,6048
1868832,0,0,0,0
1874880,0,0,0,0
1868832,0,0,0,0
1868832,0,0,0,0
1880928,0,0,0,0
1868832,0,0,0,0
1875288,0,0,408,408
1868832,408,408,0,0
1480120,0,0,0,6048
840672,0,0,0,0
840672,0,0,0,0
846720,0,0,0,0
840672,0,0,0,0
846720,0,0,0,0
259504,0,0,6048,0
0,0,0,0,0
0,0,0,0,0
0,0,0,280,0
0,0,0,1524096,0
0,0,0,3090528,0
0,0,0,3084480,0
0,0,0,3090528,2007936
0,0,0,3090528,4106592
0,0,0,3090528,6616512
0,0,1481760,3090528,9253440
0,0,3090528,3084480,9253440
0,0,3090528,3084480,9271584
