index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8
659,320,2024384,2318832,320,2028416,320,320,320,1468080,855104,452016,1467968,320,1802624,560768,68864,320,1104368,320,1806768,2137392,2314800,320,320,2141264,1346960,2314688,447872,564912,560880,320,1576672,0,2112880,318528,535536,2846592,1314656,0,528304
660,320,2068736,2435648,320,2068736,320,320,320,1492160,939776,459808,1496192,320,1834880,572864,137520,320,1036656,320,1839024,1925541.333,2435648,320,320,2185664,1123173.333,2415328,463952,581040,581040,28544,1348853.333,0,2455488,371056,492016,3114661.333,1592640,4032,612976
661,320,1638949.333,3459888,160,1630885.333,320,320,320,1464048,1992128,452016,1074309.333,320,1798432,564800,1125248,320,1080896,320,1417077.333,1468080,3463920,320,320,1751733.333,677696,2367104,451904,560768,560768,1093104,903600,0,1840229.333,314496,427392,2217600,1378944,878976,532224
662,320,1262672,4516496,320,1262512,320,320,320,1657584,2859232,625392,685872,320,1834880,568896,1145472,320,1951808,320,1036768,1488464,4524560,320,320,1379376,685872,2576880,460304,572864,577008,1948000,919952,0,1600816,366912,492016,2584848,1693552,1109024,1532160
663,320,1242736,5315056,320,1242736,160,320,320,2484256,2831120,1468192,677920,320,1810688,569168,1129392,160,1923648,320,1016720,1468192,5315056,320,320,1355296,677696,3391568,452016,565024,564800,1919776,903488,0,1371104,314720,419552,2213680,2310560,947632,1375136
664,320,1242176,5302400,320,1242176,320,320,320,2484032,2818688,1468080,677696,320,1802736,560768,1129280,320,1915520,320,1016336,1468080,5302240,320,160,1355184,677808,3383168,451904,564912,564912,1919552,903488,112,1600816,370944,491904,2576448,2705584,1108800,1596784
665,320,1242016,5423360,320,1242176,320,320,320,2480000,2939648,1463936,677696,160,1806656,564800,1250240,320,1915520,320,1016384,1467968,5419328,160,320,1347008,677696,3508160,451904,564800,564800,1915520,903488,0,1366848,318528,419328,2225664,2407104,947520,1370880
666,160,1274656,5790336,320,1278688,320,320,320,2548656,3250224,1508288,697968,320,1859184,581040,1504368,320,1972192,320,1040912,1504368,5794528,320,320,1395616,693936,3818848,460080,580928,577008,1971968,919728,112,1604736,371168,492016,2576560,3068576,1108912,1596672
667,320,1254384,5705712,320,1250352,320,160,320,2508336,3185440,1480176,681840,320,1818752,568832,1484096,320,1939712,320,1028592,1484320,5693616,320,320,1367168,685872,3770240,460080,568944,572976,1935792,915696,0,1366960,314496,427392,2209648,2636928,947520,1370992
668,320,1242288,6052464,320,1242288,320,320,320,2887232,3165552,1472000,677696,320,2205824,564912,1467968,320,1919664,160,1016496,1467808,6064560,320,320,1359104,677696,3726000,452016,564800,564800,2326784,907520,0,1600704,367024,491904,2588656,3076416,1475712,1596672
669,320,1246432,6351056,320,1250576,320,320,160,3177600,3177648,1476144,681952,320,2105568,568944,1476144,320,1931648,320,1016496,1468080,6351056,320,320,1359216,677696,3738096,452128,564640,564800,2609248,903600,4032,1040800,314496,419440,2213792,2633008,1580656,1370880
670,320,6072736,6418656,320,6084720,320,320,320,3234096,3188912,1500560,693936,320,1964128,5415296,1504256,320,1918832,320,1044720,6290352,6414624,320,320,1383296,701888,3814704,464112,584960,576736,2612176,5681520,336,980112,4693248,491904,2580592,3080448,1846768,1599984
671,320,12386624,5161738.667,320,12386624,320,320,320,3189632,1976458.667,1484096,685760,320,1935680,11701184,1170058.667,320,1028480,320,1024448,12620480,5161738.667,320,320,984400,677696,3766208,459968,568832,572864,1391818.667,12051808,0,842688,10600128,423360,1923696,2636928,1399562.667,528192
672,320,12499632,4488048,320,12503664,320,320,320,3221888,1266480,1496192,689792,320,1955840,11814192,464000,320,1036656,320,1032624,12729568,4488048,320,320,572976,693776,3794272,459968,581040,577008,693936,12160944,0,983808,12378352,491904,1717632,3076528,737968,617008
