,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
127,480.0,480.0,635520.0,480.0,760.0,480.0,480.0,635520.0,720.0,720.0,480.0,480.0,720.0,629712.0
128,480.0,480.0,443192.0,6528.0,480.0,480.0,6528.0,443192.0,760.0,480.0,720.0,6768.0,480.0,449240.0
129,480.0,480.0,720.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
130,720.0,720.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
131,480.0,480.0,823008.0,480.0,480.0,480.0,720.0,817200.0,720.0,720.0,480.0,480.0,480.0,804864.0
132,480.0,480.0,4119168.0,480.0,480.0,480.0,480.0,4113120.0,480.0,480.0,480.0,720.0,720.0,4113360.0
133,480.0,480.0,5135232.0,720.0,480.0,720.0,480.0,5117088.0,480.0,760.0,992872.0,480.0,480.0,4125216.0
134,480.0,720.0,9266256.0,480.0,480.0,480.0,480.0,9272064.0,480.0,480.0,5147328.0,480.0,480.0,4113120.0
135,720.0,480.0,9253920.0,480.0,720.0,480.0,720.0,9254160.0,480.0,480.0,5141280.0,480.0,480.0,4113120.0
136,480.0,480.0,11407008.0,480.0,480.0,480.0,480.0,11400960.0,720.0,720.0,7276224.0,480.0,720.0,4125456.0
137,480.0,480.0,12350496.0,480.0,480.0,480.0,480.0,12350496.0,480.0,480.0,8232048.0,720.0,480.0,4113120.0
138,480.0,480.0,13518000.0,720.0,480.0,720.0,480.0,13499616.0,480.0,480.0,8237856.0,480.0,480.0,5250144.0
139,720.0,720.0,18519456.0,480.0,720.0,480.0,480.0,18513408.0,480.0,480.0,8231808.0,480.0,480.0,10288128.0
140,480.0,5873088.0,10492680.0,6528.0,480.0,5854944.0,6768.0,10523160.0,720.0,5843088.0,6107880.0,6528.0,480.0,10245792.0
141,480.0,6175488.0,9266016.0,480.0,480.0,6175768.0,480.0,9266296.0,480.0,6175488.0,5147328.0,720.0,720.0,10288368.0
142,6528.0,903920.0,9247872.0,720.0,6528.0,922304.0,480.0,9253920.0,6528.0,934160.0,5135472.0,480.0,6528.0,5064944.0
143,6528.0,720.0,5326416.0,6528.0,480.0,480.0,12576.0,5344320.0,480.0,480.0,2082720.0,12576.0,480.0,3292320.0
144,720.0,480.0,480.0,480.0,720.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0
145,115392.0,480.0,480.0,480.0,480.0,480.0,115392.0,480.0,720.0,720.0,480.0,115392.0,480.0,720.0
146,629472.0,480.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0,480.0,720.0,635760.0,720.0,480.0
147,635520.0,480.0,720.0,720.0,480.0,720.0,635520.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0
148,629712.0,720.0,480.0,480.0,720.0,480.0,629472.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0
149,1058880.0,480.0,760.0,480.0,480.0,480.0,1065448.0,720.0,480.0,720.0,480.0,1058880.0,480.0,760.0
150,1264512.0,480.0,480.0,480.0,480.0,480.0,1264512.0,480.0,720.0,480.0,480.0,1264752.0,720.0,720.0
151,1264512.0,480.0,480.0,720.0,480.0,720.0,1264512.0,480.0,480.0,480.0,720.0,1264512.0,480.0,480.0
152,1264512.0,720.0,145872.0,480.0,480.0,480.0,1264512.0,145632.0,480.0,480.0,139584.0,1264512.0,480.0,480.0
153,1270800.0,480.0,847200.0,480.0,720.0,480.0,1264752.0,841392.0,480.0,480.0,847200.0,1264512.0,480.0,480.0
154,1258464.0,480.0,841152.0,1361280.0,480.0,480.0,2631360.0,847200.0,720.0,720.0,841152.0,2643456.0,480.0,720.0
155,1270560.0,480.0,841152.0,2062848.0,480.0,480.0,3320832.0,841152.0,480.0,480.0,847440.0,3321072.0,720.0,480.0
156,1264512.0,480.0,847440.0,2057040.0,480.0,720.0,3332928.0,841152.0,480.0,480.0,841152.0,3326880.0,480.0,480.0
157,1264752.0,720.0,1506432.0,2056800.0,720.0,480.0,3314784.0,1506432.0,480.0,480.0,841152.0,3320832.0,480.0,647616.0
