,1_port1,1_port2,1_port3,1_port4,1_port5,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port1,5_port2,5_port3,5_port4,5_port5
204,480.0,950016.0,480.0,2056800.0,480.0,480,720,2062848,950016,720,720,2056800,480,480,480,943968
205,480.0,950016.0,480.0,2056800.0,480.0,480,480,2056800,950016,480,480,2063088,720,720,480,950256
206,480.0,950016.0,720.0,2056800.0,720.0,480,480,2056800,943968,480,480,2056800,480,480,720,950016
207,720.0,950256.0,480.0,2063088.0,480.0,480,480,2056800,950016,480,480,2056800,480,480,480,950016
208,480.0,950016.0,480.0,2056800.0,480.0,720,480,2063088,950256,720,480,2062848,480,480,480,950016
209,480.0,943968.0,480.0,2056800.0,480.0,480,720,2056800,950016,480,720,2056800,480,720,480,943968
210,480.0,950016.0,480.0,2062848.0,480.0,480,480,2062848,950016,480,480,2057040,720,480,480,950256
211,480.0,950016.0,720.0,2056800.0,720.0,480,480,2050752,943968,480,480,2056800,480,480,720,950016
212,720.0,950256.0,480.0,2057040.0,480.0,720,480,2062848,950016,480,480,2062848,480,480,480,950016
213,480.0,950016.0,480.0,295192.0,480.0,480,480,289384,956304,480,480,283096,480,480,480,950016
214,480.0,950016.0,480.0,480.0,480.0,480,720,480,950016,720,720,480,760,720,480,950016
215,480.0,950016.0,480.0,480.0,480.0,480,480,480,950016,480,480,720,720,480,480,950256
216,480.0,950256.0,720.0,480.0,720.0,480,480,480,943968,480,480,480,480,480,720,950016
217,720.0,950016.0,480.0,720.0,480.0,720,480,480,950016,480,480,480,480,480,480,950016
218,480.0,943968.0,480.0,480.0,480.0,480,480,720,950256,720,480,480,480,480,480,950016
219,480.0,950016.0,480.0,480.0,480.0,480,720,480,950016,480,720,480,480,720,480,950016
220,480.0,950016.0,480.0,480.0,480.0,480,480,480,943968,480,480,720,720,480,480,944208
221,480.0,806312.0,6768.0,480.0,720.0,480,480,6528,812120,480,480,6528,480,480,720,812120
222,720.0,480.0,480.0,720.0,480.0,720,480,480,720,480,480,480,480,480,480,480
223,480.0,480.0,480.0,480.0,480.0,480,480,720,480,720,760,480,480,480,480,480
224,480.0,480.0,480.0,480.0,480.0,480,720,480,480,480,720,480,480,720,480,480
225,480.0,480.0,480.0,480.0,480.0,480,480,480,480,480,480,720,720,480,720,720
226,480.0,2849328.0,720.0,480.0,720.0,480,480,480,2843040,480,480,480,480,480,480,2836992
227,720.0,5945664.0,480.0,720.0,480.0,720,480,480,5939856,480,480,480,480,480,480,5927520
228,480.0,6157344.0,480.0,480.0,480.0,480,480,720,6157344,720,480,480,480,480,480,6163392
229,480.0,6187584.0,480.0,480.0,480.0,480,720,480,6181536,480,720,480,480,720,480,6181536
230,480.0,8993856.0,480.0,480.0,480.0,480,480,480,8993856,480,480,720,720,480,480,8982000
231,480.0,13046016.0,1000.0,480.0,720.0,760,480,480,13033920,480,480,480,480,480,3744432,9278392
232,720.0,13366800.0,480.0,720.0,480.0,480,480,480,13354464,480,480,480,480,480,4113120,9253920
233,480.0,18211008.0,480.0,480.0,480.0,720,480,720,18205200,720,480,480,480,4693728,4149408,9344640
234,3816768.0,14678976.0,480.0,480.0,480.0,480,3804912,480,14691072,480,3792816,480,480,5135232,4064736,9247872
235,4318752.0,15126528.0,480.0,480.0,480.0,480,4318752,480,15126528,480,4324800,720,720,5407632,4324800,9725904
236,3907488.0,13668960.0,480.0,480.0,480.0,480,3913536,480,13681056,480,3907488,480,480,4881216,3907728,8788224
237,4119168.0,14406816.0,720.0,480.0,720.0,480,4113120,480,14400768,480,4113120,480,480,5147328,4119168,9266016
238,4089168.0,14328432.0,480.0,720.0,480.0,480,4088928,480,14322144,480,4094976,480,480,5111040,4088928,9205536
239,4137592.0,14461528.0,480.0,480.0,480.0,720,4137312,720,14461768,720,4131264,480,480,5171520,4137312,9302304
240,4125216.0,14449152.0,480.0,480.0,480.0,480,4125456,480,14449152,480,4131504,480,480,5159424,4125216,9284160
241,4107072.0,14370528.0,480.0,480.0,480.0,480,4107072,480,14376576,480,4107072,480,720,5129424,4107072,9242064
242,4101024.0,14352384.0,720.0,480.0,480.0,480,4113120,480,14346336,480,4113120,720,480,5141280,4113360,9253920
243,4131504.0,14449392.0,480.0,480.0,720.0,480,4119168,480,14455200,480,4113120,480,480,5147328,4119168,9259968
244,4101024.0,13534784.0,480.0,720.0,6528.0,720,4101024,6528,13535024,480,4101024,6528,480,5129184,4094976,8424224
245,4125216.0,11346528.0,480.0,480.0,480.0,480,4119168,720,11346528,720,4125456,480,480,5147328,4125216,6181536
246,4113120.0,8457312.0,480.0,480.0,6528.0,480,4119408,6528,8469408,480,4119168,6528,480,5147568,4113120,3334896
