,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
13112,480.0,3876768.0,943488.0,3084480.0,480.0,480.0,480.0,943488.0,3084480.0,480.0,4027968.0,3864672.0,943488.0,3084480.0,480.0,480.0,480.0,943488.0,3084480.0,480.0,4034016.0,480.0,1893024.0,1028160.0,949536.0
13113,480.0,4892832.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4046112.0,4892832.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4040064.0,480.0,1899072.0,2032128.0,949536.0
13114,480.0,6937056.0,1112832.0,3616704.0,480.0,480.0,480.0,1112832.0,3616704.0,480.0,4717440.0,6943104.0,1112832.0,3616704.0,480.0,480.0,480.0,1112832.0,3616704.0,480.0,4729536.0,480.0,2219616.0,3610656.0,1112832.0
13115,480.0,5945184.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4046112.0,5939136.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4040064.0,480.0,1905120.0,3096576.0,949536.0
13116,480.0,6253632.0,949536.0,3084480.0,480.0,480.0,480.0,949536.0,3084480.0,480.0,4034016.0,6253632.0,949536.0,3084480.0,480.0,480.0,480.0,949536.0,3084480.0,480.0,4027968.0,480.0,1893024.0,3084480.0,1257984.0
13117,480.0,7995456.0,943488.0,3090528.0,480.0,480.0,480.0,943488.0,3090528.0,480.0,4034016.0,7989408.0,943488.0,3090528.0,480.0,480.0,480.0,943488.0,3090528.0,480.0,4040064.0,480.0,1899072.0,3090528.0,3011904.0
13118,480.0,7995456.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4040064.0,7995456.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4034016.0,480.0,1893024.0,3084480.0,3005856.0
13119,480.0,7989408.0,949536.0,3084480.0,480.0,480.0,480.0,949536.0,3084480.0,480.0,4034016.0,7995456.0,949536.0,3084480.0,480.0,480.0,480.0,949536.0,3084480.0,480.0,4040064.0,480.0,1899072.0,3084480.0,3011904.0
13120,480.0,7924088.0,949536.0,3099904.0,480.0,480.0,480.0,949536.0,3099904.0,480.0,4049440.0,7924088.0,949536.0,3099904.0,480.0,480.0,480.0,949536.0,3099904.0,480.0,4037344.0,480.0,1815608.0,3102624.0,3011904.0
13121,280.0,7027776.0,949536.0,6048.0,480.0,480.0,480.0,949536.0,6048.0,480.0,943488.0,7027776.0,949536.0,6048.0,480.0,480.0,480.0,949536.0,6048.0,480.0,949536.0,480.0,943488.0,3078432.0,3005856.0
13122,480.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7058016.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3090528.0,3011904.0
13123,480.0,7033824.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,7021728.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,943488.0,480.0,949536.0,3084480.0,2999808.0
13124,480.0,7051968.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7058016.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3084480.0,3011904.0
13125,480.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7033824.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3096576.0,3005856.0
